"Sample_Name","Fraction","Percent","Size","percent_finer","below_50","above_50","keep"
"EC_097_all","Percent_Med_Sand",36.1,0.5,40.7,TRUE,FALSE,TRUE
"EC_100_all","Percent_Med_Sand",3,0.5,6.1,TRUE,FALSE,TRUE
"EC_101_all","Percent_Med_Sand",10.3,0.5,13.4,TRUE,FALSE,TRUE
"EC_102_all","Percent_Med_Sand",10.9,0.5,22.9,TRUE,FALSE,TRUE
"EC_104_all","Percent_Med_Sand",55.7,0.5,91.4,FALSE,TRUE,TRUE
"EC_105_all","Percent_Med_Sand",26.4,0.5,51.8,FALSE,TRUE,TRUE
"EC_107_all","Percent_Med_Sand",46.2,0.5,88.7,FALSE,TRUE,TRUE
"EC_108_all","Percent_Med_Sand",22.5,0.5,38.7,TRUE,FALSE,TRUE
"EC_109_all","Percent_Med_Sand",70.8,0.5,86.4,FALSE,TRUE,TRUE
"EC_110_all","Percent_Med_Sand",11.7,0.5,42.5,TRUE,FALSE,TRUE
"EC_111_all","Percent_Med_Sand",11.7,0.5,22.1,TRUE,FALSE,TRUE
"EC_112_all","Percent_Med_Sand",24.4,0.5,35.4,TRUE,FALSE,TRUE
"EC_113_all","Percent_Med_Sand",13.8,0.5,26.1,TRUE,FALSE,TRUE
"EC_116_all","Percent_Med_Sand",6.3,0.5,23.7,TRUE,FALSE,TRUE
"EC_117_all","Percent_Med_Sand",3.8,0.5,20.1,TRUE,FALSE,TRUE
"EC_001_all","Percent_Coarse_Sand",85.1,2,100,FALSE,TRUE,TRUE
"EC_003_all","Percent_Coarse_Sand",82,2,100,FALSE,TRUE,TRUE
"EC_004_all","Percent_Coarse_Sand",77,2,100,FALSE,TRUE,TRUE
"EC_006_all","Percent_Coarse_Sand",58.9,2,100,FALSE,TRUE,TRUE
"EC_007_all","Percent_Coarse_Sand",84.3,2,100,FALSE,TRUE,TRUE
"EC_008_all","Percent_Coarse_Sand",77.4,2,100,FALSE,TRUE,TRUE
"EC_010_all","Percent_Coarse_Sand",57.8,2,100,FALSE,TRUE,TRUE
"EC_013_all","Percent_Coarse_Sand",82,2,100,FALSE,TRUE,TRUE
"EC_015_all","Percent_Coarse_Sand",75.6,2,100,FALSE,TRUE,TRUE
"EC_017_all","Percent_Coarse_Sand",70.2,2,100,FALSE,TRUE,TRUE
"EC_018_all","Percent_Coarse_Sand",91.6,2,100,FALSE,TRUE,TRUE
"EC_024_all","Percent_Coarse_Sand",83.6,2,100,FALSE,TRUE,TRUE
"EC_033_all","Percent_Coarse_Sand",92.1,2,100,FALSE,TRUE,TRUE
